name,latitude,longitude
bacrs-emere-nocga,20.95781,-80.29910533333333
bacrs-fcenc-noe,19.39841874,-76.93739448000001
bacsq-ememo-nccm,20.985719593333332,-80.28460163
beflg-acrcs-scamp,-10.208758333333334,-67.50111533333333
beflg-amats-scamp,-9.931196333333332,-67.406149
beflg-amazo-macge,-9.822309666666667,-67.283889
beflg-befci,-10.601872,-67.6928725
beflg-etrig-amapa,-10.773962,-67.990566
beflg-lakak-huasc,-12.094209666666666,-71.32541733333333
belav-ailli-nocp,4.413180443333334,-72.39302089666666
belav-sjudc-rono1,-10.174320999999999,-66.98643
crusq-pachp-nocga,6.316319666666666,-75.53362533333333
espee-chhpq-octag,6.794999518333334,-75.87797322166666
iamav-huasc-chimb,-7.507755,-69.99179044333333
lacoe-cojos-ncec,1.278232263333333,-73.18792100333333
