name,lat_first,lon_first,lat_centroid,lon_centroid,description
amao10-ememo-nocp,40.05469583,-82.4442625,20.675672943333335,-80.27392183333332,Amazonas Oval 366 x 316m - Emerald Mound Centerpoint - Newark Octagon e-w ratio @ ememo = 1.0 : 0.365009 (-3m) epoch hopewell lr = 0.0365011 lunar orbits per rotation Web Archive
amaoc-cochp-nocga,40.053222,-82.446715,10.308474666666665,-75.91867733333333,Amazonas Octagon 155m - Cochasqui Pyramid - Newark Octagon Gateway e-w ratio @ cochp = 1.0 : 0.366241 (-1m) epoch hopewell ry = 366.242358 rotations per year
amaoc-machw-ncec,-13.163501,-72.545313,5.897973929999999,-73.99300133666667,Amazonas Octagon 155m - Machupicchu Windows - Great Circle n-s ratio @ machw = 1.0 : 0.074804 (-4m) epoch hopewell yl = 0.0748042 years per lunar orbit n-s ratio @ amaoc = 1.0 : 0.074804 (-3m) epoch hopewell ym = 0.08085204 years per moon n-s ratio @ ncec = 1.0 : 0.925196 (-13m) epoch hopewell ml = 0.9251987 moons per lunar orbit Web Archive
amaoc-mactp-nocga,-9.183614,-67.002622,5.901762333333333,-73.998139,Amazonas Octagon 155m - Machupicchu Tres Portales - Newark Octagon Gateway n-s ratio @ nocga = 1.0 : 0.925199 (+4m) epoch hopewell ml = 0.9251987 moons per lunar orbit n-s ratio @ mactp = 1.0 : 0.074801 (-4m) epoch hopewell ol = 0.0748013 orbits per lunar orbit n-s ratio @ amaoc = 1.0 : 0.080848 (-4m) epoch hopewell om = 0.08084893 orbits per moon Observatory Mound - Intiwatana UTM - Amazonas Quadrangle 175m noom-intih-amaq55 n-s ratio @ noom = 1.0 : 0.925199 (+2m) Amazonas Octagon 155m - Octagon Small Circle - Machupicchu Tres Portales amaoc-nosc-mactp n-s ratio @ nosc = 1.0 : 0.925198 (-2m) Web Archive
amaoc-secac-nocp,-9.183614,-67.002622,7.13532661,-75.89636316666666,Amazonas Octagon 155m - Sechin Alto Cuarto - Newark Octagon e-w ratio @ nocp = 1.0 : 0.272125 (+5m) epoch hopewell dn = 27.2122219 days per lunar nodal period Sechin Alto Cuarto - Chavin Lanzon - Huascarán GPS n-s ratio @ chhla = 1.0 : 0.272113 (-0.5m)
amaov-abuno-rono3,-9.979387,-66.734946,-9.768534,-66.62916899999999,Amazonas Oval 480 x 440m - Abuna Oval 342 x 315m - Rondonia Oval 343 x 279m e-w ratio @ amaov = 1.0 : 0.366316 (+8m) epoch hopewell ro = 366.256467	rotations per orbit
amaov-abuno-xapen,-9.559856,-67.169716,-10.107602666666667,-67.42522466666667,Amazonas Oval 480 x 440m - Abuna Oval 342 x 315m - Xapuri Enclosure 340m arcs ratio @ abuno = 1.0 : 0.333325 (-2m)
amaov-amasq-amadp,-9.472438,-67.273318,-9.397150333333334,-67.220476,Amazonas Oval 480 x 440m - Amazonas Square 337m - Amazonas Double Parallelogram 220m arcs ratio @ amaov = 1.0 : 0.333201 (-6m)
amaov-amasq-mussq,-8.875018,-67.24471,-9.198010333333334,-67.21094,Amazonas Oval 480 x 440m - Amazonas Square 337m - Mustafa Square 260m arcs ratio @ amasq = 1.0 : 1.414411 (-4m) sqrt 2 = 1.414214 great circle bearings @ amaov = 180.67584°
amaov-amazo-amao10,-9.559856,-67.169716,-9.534349,-66.97302166666667,Amazonas Oval 480 x 440m - Amazonas Oval 340 x 320m - Amazonas Oval 366 x 316m n-s ratio @ amao10 = 1.0 : 0.365404 (+5m) epoch hopewell do = 365.2564674 days per orbit Amazonas Oval 480 x 440m - Amazonas Oval 366 x 316m amaov-amao10 n-s : e-w ratio @ amao10 = 1.0 : 0.375049 (+1m)
amaov-amazo-macge,-9.379465,-66.618893,-9.473025666666667,-67.10853666666667,Amazonas Oval 480 x 440m - Amazonas Oval 340 x 320m - Macapa Geoglyph 405 x 380m e-w ratio @ amaov = 1.0 : 0.666793 (+7m)
amaov-beflg-amapa,-9.177379,-67.164573,-9.781631666666668,-67.343446,Amazonas Oval 480 x 440m - Bella Flor Geoglifo 380 x 340m - Amazonas Parallelogram 330m n-s ratio @ amaov = 1.0 : 0.365027 (+2m) epoch chavin lr	= 0.03650105 lunar orbits per rotation
amaov-carac-nccm,40.04102778,-82.43088889,17.05348326,-79.39043963,Amazonas Oval 480 x 440m - Caracol - Eagle Mound arcs ratio @ amaov = 1.0 : 0.714285 (-5m) arcs ratio @ amaov = 7.0 : 4.999993 (-5m) Web Archive
amaov-hpgcu-chhpq,-13.151962,-72.546578,-10.768782666666667,-72.29776566666666,Amazonas Oval 480 x 440m - Gran Caverna UTM - Chavin Plaza e-w ratio @ amaov = 1.0 : 1.861176 (+1m) epoch qin os = 18.6117847 orbits per lunar standstill period Web Archive
amaov-inkar-chhap,-13.150298,-72.546831,-10.768170666666668,-72.29814533333332,Inkaraqay - Chavin Portal - Amazonas Oval 480 x 440m e-w ratio @ amaov = 1.0 : 1.861253 (-1m) epoch qin ys = 18.6125000 years per lunar standstill period
amaov-mpqsr-pachs,-9.559856,-67.169716,-11.662150333333335,-72.205561,Amazonas Oval 480 x 440m - Machupicchu Serpent Rock - Pachacamac n-s ratio @ mpqsr = 1.0 : 0.250008 (+4m) Amazonas Oval 480 x 440m - Machupicchu Residence - Pachacamac amaov-macpr-pachs n-s ratio @ macpr = 1.0 : 0.250019 (+7m) Amazonas Oval 480 x 440m - Machupicchu Courtyard - Pachacamac mapic-pachs-amaov n-s ratio = 1.0 : 0.249959 (-17m) Web Archive
amaov-ncec-chimb,40.04103679,-82.43106901,9.670810263333333,-76.13945611333334,"Amazonas Oval 480 x 440m - Great Circle - Chimborazo GPS arcs ratio @ amaov = 1.0 : 0.273965 (+1m) arcs ratio @ amaov = 1.0 : 3.650107 (+1m) epoch hopewell rl = 27.396467 rotations per lunar orbit What is the highest point on Earth as measured from Earth's center? ... the highest point above Earth’s center is the peak of Ecuador’s Mount Chimborazo, located just one degree south of the Equator where Earth’s bulge is greatest. The summit of Chimborazo is 20,564 feet above sea level. However, due to the Earth’s bulge, the summit of Chimborazo is over 6,800 feet farther from the center of the Earth than Everest’s peak. That makes Chimborazo the closest point on Earth to the stars. Web Archive"
amaov-rbrdq-acrsq,-9.559856,-67.169716,-9.725222333333333,-67.53547099999999,Amazonas Oval 480 x 440m - Rio Branco Double Quadrangle 340 x 240m - Acre Square 185m e-w ratio @ amaov = 1.0 : 0.500094 (+8m) e-w ratio @ acrsq = 1.0 : 0.999623 (-8m)
amaov-rbrdq-rbrds,-9.559856,-67.169716,-9.762084,-67.53542433333332,Amazonas Oval 480 x 440m - Rio Branco Double Quadrangle 340 x 240m - Rio Branco Double Square 150m e-w ratio @ amaov = 1.0 : 0.499903 (-8m)
amaov-tambe-sjuen,-9.559856,-67.169716,-10.938465,-68.15819866666666,Amazonas Oval 480 x 440m - Tambopata Enclosure 400 x 220m - Sao Judas Enclosure 305 x 260m e-w ratio @ amaov = 1.0 : 0.500081 (+18m) e-w ratio @ sjuen = 1.0 : 0.999674 (-18m)
